dataset,model,trial,train_accuracy,train_precision,train_recall,train_specificity,train_f1,train_roc_auc,train_log_loss,test_accuracy,test_precision,test_recall,test_specificity,test_f1,test_roc_auc,test_log_loss
cardio,tree,1,0.7272,0.769610261470153,0.6574074074074074,0.8143879173290938,0.7053995680345573,0.7267561679326385,3.3295543562569665,0.7180923076923077,0.7600480354261268,0.6517618095091553,0.8032918012613444,0.698032365446096,0.7180821045699906,12.502099737157838
cardio,tree,2,0.7308,0.8254545454545454,0.771585557299843,0.884584013050571,0.7361818894551156,0.7306776770188562,3.3779110420021317,0.7165692307692307,0.8235209096164965,0.7575776263451636,0.8883293929810556,0.7172868871326634,0.7165778500612016,12.54992815709004
cardio,tree,3,0.7276,0.7735498839907192,0.721763085399449,0.8174054493696624,0.7389142146705346,0.7287931362019129,3.1430420851737,0.7239846153846153,0.7538612405001226,0.6912263394783895,0.8030833486886555,0.7114739573444718,0.7238695891642137,12.46384279029747
cardio,tree,4,0.7372,0.7878934624697337,0.746233148295004,0.8232445520581114,0.7244127516778524,0.7376654448120463,3.426264049599119,0.7245692307692307,0.7614937339737802,0.6898357827279169,0.7970684939925636,0.7138953256092689,0.7245211381203166,12.273081364304518
cardio,tree,5,0.735,0.7975186104218362,0.7341822522881019,0.8078005629272216,0.7436643124221023,0.7354556467206873,2.977256118397615,0.7268769230769231,0.7755327665739011,0.7060001232058153,0.8038052498924202,0.711856333063402,0.726787572228576,12.82623829444033
cardio,tree,6,0.7348,0.7475247524752475,0.7315381476948184,0.7999215378579835,0.7202531645569621,0.7340627975643124,3.3157362869872253,0.7314461538461539,0.7617243190515495,0.6726819970486965,0.8044161123429416,0.720962946385754,0.7314790641226852,12.584985395003267
cardio,tree,7,0.7414,0.7843137254901961,0.7142286171063149,0.8194555644515612,0.7480117203850982,0.7414566345322461,3.101594753902377,0.7221846153846154,0.7729913770770882,0.6585583643809465,0.8113950127602004,0.6955970755483347,0.7225772702895867,12.45001999725214
cardio,tree,avg,0.7334285714285713,0.7836950345389188,0.725276887927277,0.8238285138634579,0.7309768030288889,0.7335525006832428,3.2387655274741616,0.723389010989011,0.7727389117455807,0.6896631489565834,0.8159127731313116,0.7098721272185701,0.7234135126509386,12.521456533649372
cardio,log_reg,1,0.7292,0.7607390300230947,0.6634460547504025,1.0,0.7088172043010752,0.7287818509046131,17.158864112991626,0.7266461538461538,0.7578168816601234,0.6657024157562702,1.0,0.7088740332940097,0.7266367793286812,17.266731368501887
cardio,log_reg,2,0.652,0.6617293835068054,1.0,0.6586460032626428,0.6882726361510191,0.6520637367759251,16.938208066643966,0.6477846153846154,0.6492348136325228,1.0,0.6612115815652921,0.6815558408881626,0.6477674149308047,17.306453084531537
cardio,log_reg,3,0.728,0.76326348640214,1.0,0.7840585603904026,0.7158378604262433,0.7288979643965041,16.986563473033243,0.7267692307692307,0.7471496317223287,1.0,0.7691173760825503,0.71447863412752,0.726689756587384,17.30273343788621
cardio,log_reg,4,0.6528,0.6680923866552609,1.0,0.6868442292171105,0.6690895874977286,0.6530969758298083,17.11781386180414,0.6497846153846154,0.6567178658043654,1.0,0.673785453092831,0.6697126300686734,0.6497528183601998,17.2926372541346
cardio,log_reg,5,0.7272,0.7518567059851463,0.0,0.7716123843988741,0.7163002903359601,0.7274235095316978,17.179985098590354,0.7256153846153847,0.7443867013125458,0.0,0.7641544230651012,0.7131058673469387,0.725576827234852,17.287854851304893
cardio,log_reg,6,0.7216,0.7491764705882353,0.64953080375357,1.0,0.695804195804196,0.7202145976398292,16.930908188785217,0.7253076923076923,0.7593961036665134,0.6602926709296606,1.0,0.7063853579122197,0.725363753548102,17.28426643959469
cardio,log_reg,7,0.6582,0.6741326306543698,1.0,0.7029623698959168,0.0,0.6582357812709,17.283203708013307,0.6654769230769231,0.6797280551927392,1.0,0.7059619346308766,0.0,0.6654482518552665,17.257166784269447
cardio,log_reg,avg,0.6955714285714285,0.7184271562592931,0.7589966940719961,0.800589078166421,0.5991602535023175,0.6955306309070396,17.085078072837405,0.6953406593406594,0.7134900075701627,0.760856440955133,0.7963186812052359,0.5991589090910748,0.6953193716921844,17.285406174317608
cardio,perceptron,1,0.6596,0.8137108792846498,0.9371980676328503,0.6526232114467408,0.6798072711344721,0.6581856792854235,17.158864112991626,0.6588307692307692,0.8208988023294144,0.9309432220341591,0.6455314566989694,0.6823585139737892,0.6587962380780175,17.266731368501887
cardio,perceptron,2,0.5386,0.8077922077922078,1.0,0.9702283849918434,0.6808687231982294,0.5302361062382036,17.600960450846483,0.5321846153846154,0.8272894898586355,1.0,0.9750990205410053,0.6747459621349877,0.5331175793351908,17.23272395789767
cardio,perceptron,3,0.7168,0.7852084972462627,0.0,0.7836518910126068,0.0,0.7184233071326864,17.55260616389361,0.7136461538461538,0.7657882516833062,0.0,0.7645722007247712,0.0,0.713475443881284,17.2364435184325
