DATASET,MODEL,TRIAL,TEST_ACC,TEST_PREC,TEST_REC,TEST_SPEC,TEST_F1,TEST_ROC
CARDIO,DT,1,0.7180923076923077,0.7600480354261268,0.6517618095091553,0.8032918012613444,0.698032365446096,0.7180821045699906
CARDIO,DT,2,0.7165692307692307,0.8235209096164965,0.7575776263451636,0.8883293929810556,0.7172868871326634,0.7165778500612016
CARDIO,DT,3,0.7239846153846153,0.7538612405001226,0.6918737283433011,0.8030833486886555,0.7114739573444718,0.7238695891642137
CARDIO,DT,4,0.7245692307692307,0.7614937339737802,0.6893120128169579,0.7970684939925636,0.7138953256092689,0.7245211381203166
CARDIO,DT,5,0.7268769230769231,0.7755327665739011,0.7060001232058153,0.8038052498924202,0.711856333063402,0.7267875722285759
CARDIO,DT,6,0.7314461538461539,0.7617243190515495,0.6730201672405313,0.8044161123429416,0.7209629463857541,0.7314790641226852
CARDIO,DT,7,0.7226307692307692,0.7729913770770882,0.6591433937863719,0.8113950127602004,0.6950813278952244,0.7225772702895867
CARDIO,LOGREG,1,0.7266461538461538,0.7578168816601234,0.0,1.0,0.7088740332940097,0.7266367793286812
CARDIO,LOGREG,2,0.6477846153846154,0.6492348136325228,1.0,0.6612115815652921,0.6815558408881626,0.6477674149308047
CARDIO,LOGREG,3,0.7267692307692307,0.7471496317223287,1.0,0.7691173760825503,0.71447863412752,0.726689756587384
CARDIO,LOGREG,4,0.6497846153846154,0.6567178658043654,1.0,0.6737854530928311,0.6697126300686734,0.6497528183601998
CARDIO,LOGREG,5,0.7256153846153847,0.7443867013125458,1.0,1.0,0.7131058673469387,0.7255768272348521
CARDIO,LOGREG,6,0.7253076923076923,0.7593961036665134,0.6602926709296606,0.0,0.7063853579122197,0.7253637535481021
CARDIO,LOGREG,7,0.6654769230769231,0.6797280551927392,0.6606213628106045,1.0,0.6511806981519508,0.6654482518552665
CARDIO,PERC,1,0.6588307692307692,0.8208988023294144,0.9309432220341592,0.6455314566989694,0.6823585139737892,0.6587962380780175
CARDIO,PERC,2,0.5321846153846154,0.8272894898586355,1.0,0.9750990205410052,0.6747459621349877,0.5331175793351908
CARDIO,PERC,3,0.7136461538461538,0.7657882516833062,0.0,0.7645722007247712,0.0,0.713475443881284
CARDIO,PERC,4,0.5231384615384616,0.8066573880770123,0.6864466833040639,0.4119165411916541,0.6870961741179389,0.5237387118512457
CARDIO,PERC,5,0.4996769230769231,0.8238957277335265,0.0,0.9626237167271162,0.6557469941387919,0.5001969583220675
CARDIO,PERC,6,0.7141846153846154,0.7616279069767442,0.9816158386620758,0.8042929292929293,0.6861188078664594,0.7142621803375616
CARDIO,PERC,7,0.5844153846153847,0.7651930012020837,0.7122886966160668,0.9459459459459459,0.30888578910016395,0.5842130921171368
CARDIO,KNN,1,0.6624461538461538,0.682355380468588,0.6084320664717648,0.7497923396400554,0.6428466784952712,0.6624377269216031
CARDIO,KNN,2,0.6643846153846154,0.6749736286919831,0.6313712188955012,0.6965826399336793,0.6524447560023579,0.6643146738955383
CARDIO,KNN,3,0.6622615384615385,0.6850643747195472,0.629046180405697,0.7197960813217862,0.6502572926125954,0.6621984705239486
