DATASET,MODEL,TRIAL,TRAIN_ACC,TRAIN_PREC,TRAIN_REC,TRAIN_SPEC,TRAIN_F1,TRAIN_ROC,TEST_ACC,TEST_PREC,TEST_REC,TEST_SPEC,TEST_F1,TEST_ROC
AUS,DT,1,0.8492,0.8,0.6284101599247413,0.9822199644399288,0.5778567199526348,0.7709735005547151,0.8321301438131853,0.7933739291980596,0.4496332835724022,0.9817412399905148,0.5148317820940694,0.6818113903386273
AUS,DT,2,0.855,0.7775665399239544,0.8536363636363636,0.97,0.5987825124515772,0.7246270396270396,0.8294318667236223,0.7345512421285724,0.492185723104916,0.9650264854170656,0.5269891411648568,0.6875167229636951
AUS,DT,3,0.8428,0.7848837209302325,0.8531598513011153,0.9811416921508664,0.5593321407274896,0.7108078586072175,0.8290118183112629,0.7808636104241963,0.4761533716437778,0.9789894126337099,0.5149159880424699,0.692721679483065
AUS,DT,4,0.8538,0.8235294117647058,0.7298494242692648,0.9845001291655904,0.6233900051519836,0.741198949559979,0.8284209027481133,0.8014779979845482,0.4536555223103942,0.9838395070730641,0.5391027729337141,0.6948182955313834
AUS,DT,5,0.8622,0.8386075949367089,0.8673835125448028,0.9868692070030896,0.6998050682261209,0.7936207361143409,0.8299800654990744,0.8010050251256281,0.4977406456227041,0.9837555492757456,0.5422314167498931,0.7004756344747676
AUS,DT,6,0.8568,0.7721822541966427,0.7168224299065421,0.975826972010178,0.6564482029598309,0.7646143968038811,0.8239783568275666,0.7680403254333216,0.4615834063686825,0.9760790858435244,0.5456279095855068,0.6994652023588817
AUS,DT,7,0.8388,0.7757009345794392,0.7029972752043597,0.9692228776609388,0.6967340590979783,0.7864061420066487,0.8331980635056244,0.7359496435223842,0.4766051468676891,0.9625196017650706,0.5158782788093134,0.6860183545258788
AUS,DT,avg,0.8512285714285713,0.7960672080473833,0.7646084309695985,0.9785401203472274,0.6303355297953736,0.7560355176105459,0.8294501739183499,0.7736088248309586,0.4725081570700809,0.9759929831426708,0.5285110413399747,0.6918324685251855
AUS,LOGREG,1,0.8536,0.7885906040268457,0.4938852304797742,1.0,0.5922165820642978,0.7234475682497932,0.8447885519008971,0.8228351198362038,0.4665411825793471,0.999990879740255,0.5682887298889197,0.7086276494586902
AUS,LOGREG,2,0.8546,0.8526645768025078,0.5327272727272727,1.0,0.6142557651991614,0.7379020979020979,0.8429873273529831,0.798090890226188,0.5041427039672483,0.9999908828168448,0.5845278682966341,0.7210911636226203
