,dataset,model,trial,train_accuracy,train_precision,train_recall,train_specificity,train_f1,train_roc_auc,train_log_loss,test_accuracy,test_precision,test_recall,test_specificity,test_f1,test_roc_auc,test_log_loss
0,chess,tree,1,0.7044,0.5903426791277259,0.8988627132412672,0.48187549251379036,0.7011702653700346,0.7052378181455043,14.541121672823484,0.6518793996546686,0.5896770173434417,0.8838042180660565,0.47453118765793323,0.6889811073495687,0.6518216282997871,14.645669561943661
1,chess,tree,2,0.6898,0.7146189735614308,0.8135797509039775,0.7240143369175627,0.6673257538309441,0.6895361494198528,14.976075333674368,0.6468986585203879,0.6294888597640891,0.8055111821086262,0.6133050622846541,0.6623248686514887,0.6467791475330433,15.150055998313974
2,chess,tree,3,0.6836,0.6723952738990333,0.8555422168867547,0.8780487804878049,0.6807833147587964,0.6836370693819311,15.045139773066335,0.6494886439102139,0.6483362521891418,0.8561716875499866,0.8671254632080466,0.6796465795460558,0.6497861554899989,15.26473367671341
3,chess,tree,4,0.655,0.669519910681057,0.661711530735235,0.6463560334528077,0.6477551020408163,0.6547246754697171,14.078171254992101,0.6374020454243592,0.6358604091456077,0.6616080937167199,0.5989928438908031,0.6331428571428572,0.6375770848981059,14.833636712672325
4,chess,tree,5,0.6742,0.7539267015706806,0.8707909162098669,0.9730171708912511,0.7149975888120882,0.6720381861361238,14.0713370626767,0.6483596759197768,0.6322808927599347,0.8496038673291259,0.6466955721981342,0.6898920510304221,0.6494471411754703,14.6547999273928
5,chess,tree,6,0.6774,0.7502099076406381,0.6240511386336396,0.9138966760112135,0.6385936222403924,0.6774770555669599,14.064395564386162,0.6465001992296454,0.6417702080134022,0.6138970392104561,0.6624338624338625,0.6249406014527189,0.6462352570914854,14.498791763895834
6,chess,tree,7,0.6964,0.6909090909090909,0.9228295819935691,0.9052547770700637,0.6961795027289266,0.6967117322383107,15.155653142924484,0.6480940363926152,0.6612170753860127,0.9109543458006123,0.9011265738899934,0.689502317146887,0.6475780835639254,15.60418995313191
7,chess,tree,avg,0.6829714285714286,0.6917032196270938,0.8067668355149014,0.7889233239063562,0.6781150213974284,0.6827660980511999,14.561699114934806,0.6469460941502382,0.6340901020859471,0.7973643476830833,0.6806015093662039,0.6669186260457141,0.6470320711502595,14.950268227723416
8,chess,log_reg,1,0.6684,0.7311475409836066,0.6823720552396426,0.9030732860520094,0.6695894778796333,0.6686091954685209,17.006893496854023,0.670872625846726,0.7489568845618915,0.6874917097758323,0.9039765926319989,0.6765435321759561,0.6708505230618755,17.292325358031054
9,chess,log_reg,2,0.6858,0.6787401574803149,0.6898352752109281,0.7562724014336918,0.6773175542406311,0.6858352777709776,17.193402889386537,0.6692787886837561,0.662474155754652,0.694888178913738,0.7403922608004241,0.6780123416693731,0.6693139902739236,17.23039502447663
10,chess,log_reg,3,0.6816,0.6666666666666666,0.7150860344137655,1.0,0.6842810645223052,0.6816106690577071,17.26248044217636,0.6667552131757205,0.6595305648697446,0.7188749666755532,1.0,0.686394298078147,0.6668809616182816,17.207457863900913
11,chess,log_reg,4,0.679,0.6712940009915717,0.7207713941341904,0.7359617682198327,0.6909300982091277,0.6791829889826666,17.193402889386537,0.6674857218754151,0.6616553507921112,0.7281682641107561,0.7226345083487941,0.6860224493635166,0.6676224304916357,17.23039502447663
12,chess,log_reg,5,0.6868,0.6760513186029936,0.0,0.6201962387571546,0.7078358208955223,0.6855646570463915,16.896760575453158,0.6696108380927082,0.6511371973587674,0.0,0.6323741952437262,0.6816,0.6701004269350208,17.4578770671873
13,chess,log_reg,6,0.685,0.6660261337432744,1.0,0.6519823788546255,0.6836890243902439,0.6849671463526907,17.290111463292288,0.6669544428210917,0.6574650077760498,1.0,0.6503968253968254,0.682559918408975,0.6670562590941358,17.198282999670628
14,chess,log_reg,7,0.6736,0.6768817204301075,0.7086012861736335,1.0,0.6835982939123691,0.6737672035963709,17.18649513410756,0.6662903440031877,0.6724672639558925,0.7081059496872089,1.0,0.6792211937440154,0.666379018581179,17.2326887405342
15,chess,log_reg,avg,0.6800285714285715,0.6809725055569337,0.6452380064531658,0.8096408676167591,0.6853201905785475,0.679933876896475,17.147078127236636,0.6681782820712293,0.6733837750098727,0.6482184384518698,0.8071106260602526,0.6814791047771405,0.668314801436579,17.26420315403962
16,chess,perceptron,1,0.6172,0.5164673799035032,0.4606011372867587,1.0,0.657847693957812,0.6191488081406328,16.993390788810746,0.6066542701553991,0.5240875912408759,0.46000795861520094,1.0,0.6514036843034547,0.606484838929776,17.122902551554017
17,chess,perceptron,2,0.6484,0.6357181867831786,0.9429489754921655,0.0,0.6837581937363438,0.6489194430804182,17.34577506335359,0.6261787754017798,0.6318926974664679,0.9379659211927582,0.0,0.6844099077221952,0.626437632644029,17.308782071869057
18,chess,perceptron,3,0.5902,0.5704005006257822,0.7635054021608644,0.37624950019992004,0.6809421841541756,0.590255694440911,17.26248044217636,0.5817505644839952,0.5616550594018844,0.731404958677686,0.3770513499205929,0.6514692787177204,0.5822838984599696,17.207457863900913
19,chess,perceptron,4,0.596,0.6184850590687978,0.7754118119726798,0.5627240143369175,0.6564625850340137,0.5967859537760651,17.193402889386537,0.5741134280780981,0.5909039738826973,0.7623801916932907,0.518420355155049,0.6410701292886326,0.5745375647043184,17.23039502447663
20,chess,perceptron,5,0.6214,0.6002400960384153,0.45536413469068127,0.455437448896157,0.7105947102889467,0.6150298283166995,16.896760575453158,0.5984858546951787,0.5641336159047331,0.439908688062307,0.43253186177900405,0.6848415346121768,0.6015414813184192,17.4578770671873
21,chess,perceptron,6,0.6736,0.6744092911493793,0.0,0.6611934321185422,0.6543187889581478,0.6736009699853969,17.290111463292288,0.6484260858015672,0.6485575626853599,0.0,0.6533068783068783,0.6415229456346602,0.6483982501153747,17.198282999670628
22,chess,perceptron,7,0.6478,0.5523759516933578,0.6057073954983923,0.3678343949044586,0.6312041884816755,0.6475989206791324,15.065999770063843,0.6353433390888564,0.5404651973168394,0.5951018235059231,0.36819085487077535,0.6195524146054182,0.6352580025415633,15.088255231616342
23,chess,perceptron,avg,0.6277999999999999,0.5954423521803448,0.5719341224430774,0.4890626843508565,0.667875477801588,0.6273342312027508,16.863988713219502,0.6101360453864106,0.5802422425569796,0.5609670773924523,0.4785001857188999,0.6534671278406083,0.6107059526733501,16.94485040146784
24,chess,knn,1,0.6648,0.6483018867924528,0.690089358245329,0.6327817178881009,0.6708439396906207,0.6652941895695581,9.992007221626413e-16,0.6261123655199894,0.6199271265234326,0.6674625281867622,0.597685862481713,0.6416575509941446,0.626074659586791,14.51709566604599
25,chess,knn,2,0.664,0.6613501483679525,0.7055042185616713,0.7495021903624054,0.6764252696456087,0.6641818185600074,9.992007221626413e-16,0.6258467259928278,0.6105726872246696,0.6653354632587859,0.5964749536178108,0.6395393474088292,0.6259356881626557,14.473512830702958
26,chess,knn,3,0.66,0.6457497263772346,0.7226890756302521,0.6117552978808477,0.6755725190839695,0.6600193056030889,9.992007221626413e-16,0.6240536591844866,0.6108635432976033,0.7028792322047454,0.5723928004235045,0.6418222081619741,0.6242395886948235,14.31295546793384
27,chess,knn,4,0.6648,0.6490138787436085,0.7348332663720369,0.6786140979689367,0.6790421384815295,0.6650240748660894,9.992007221626413e-16,0.628303891619073,0.6108310866252491,0.7199148029818956,0.588126159554731,0.6580276206120337,0.6284619932782872,14.207445963017168
28,chess,knn,5,0.6566,0.6428815295322635,0.764682850430697,1.0,0.6868502644537661,0.6548189523303993,9.992007221626413e-16,0.6273077433922167,0.6053749856437349,0.7392238485296092,0.5815267376166076,0.652593784821097,0.6281749766849756,14.395534503022324
29,chess,knn,6,0.6686,0.6616052060737527,0.7487015581302437,0.6251501802162596,0.6897562763423126,0.6685119226571686,9.992007221626413e-16,0.6292336299641387,0.6102612379383384,0.7312616697786076,0.5619047619047619,0.6634359098618852,0.6295923886581396,14.558386537670087
30,chess,knn,7,0.6674,0.6874292185730464,0.7419614147909968,0.7515923566878981,0.6856081708449396,0.6677081839965593,9.992007221626413e-16,0.6306946473635276,0.6141890198044623,0.7132969519499535,0.592312789927104,0.6570622854340363,0.6308198548184693,14.462048498508766
