DATASET,MODEL,TRIAL,TRAIN_ACC,TRAIN_PREC,TRAIN_REC,TRAIN_SPEC,TRAIN_F1,TRAIN_ROC,TEST_ACC,TEST_PREC,TEST_REC,TEST_SPEC,TEST_F1,TEST_ROC
CHESS,DT,1,0.7044,0.590342679,0.898862713,0.481875493,0.701170265,0.705237818,0.6518794,0.5896770170000001,0.883804218,0.474531188,0.688981107,0.651821628
CHESS,DT,2,0.6898,0.7146189740000001,0.8135797509999999,0.7236160890000001,0.6673257539999999,0.689536149,0.646898659,0.62948886,0.805511182,0.613040021,0.662324869,0.6467791479999999
CHESS,DT,3,0.6836,0.6723952740000001,0.855542217,0.87804878,0.680783315,0.6836370690000001,0.649488644,0.648336252,0.856171688,0.8671254629999999,0.67964658,0.649852804
CHESS,DT,4,0.655,0.669519911,0.661711531,0.646356033,0.6477551020000001,0.654724675,0.637402045,0.635860409,0.661608094,0.598992844,0.6331428570000001,0.637577085
CHESS,DT,5,0.6742,0.753926702,0.8707909159999999,0.973017171,0.7149975890000001,0.672038186,0.648359676,0.632280893,0.849603867,0.648929181,0.689892051,0.649447141
CHESS,DT,6,0.6774,0.70412844,0.624051139,0.821786143,0.638593622,0.677477056,0.646500199,0.66600519,0.613897039,0.65515873,0.624940601,0.6462352570000001
CHESS,DT,7,0.6962,0.690909091,0.922829582,0.905254777,0.696179503,0.696711732,0.647297118,0.661217075,0.9109543459999999,0.9011265740000001,0.689502317,0.6475780839999999
CHESS,DT,avg,0.682942857,0.685120153,0.806766836,0.7757077840000001,0.678115021,0.682766098,0.646832249,0.637552242,0.797364348,0.679843429,0.6669186260000001,0.647041592
CHESS,LOGREG,1,0.6682,0.7311475409999999,0.682372055,0.9030732859999999,0.669589478,0.668609195,0.670939036,0.748956885,0.68749171,0.903976593,0.6765435320000001,0.6708505229999999
CHESS,LOGREG,2,0.6858,0.678740157,0.689835275,0.7562724009999999,0.677317554,0.685835278,0.669278789,0.662474156,0.6948881790000001,0.7403922609999999,0.678098207,0.66931399
CHESS,LOGREG,3,0.6816,0.666666667,0.715086034,0.657736905,0.684281065,0.6816106690000001,0.666755213,0.659530565,0.718874967,0.650608788,0.686394298,0.666880962
CHESS,LOGREG,4,0.679,0.6712940009999999,0.720771394,0.735961768,0.6909300979999999,0.6791829890000001,0.667485722,0.6616553510000001,0.728168264,0.722634508,0.6860224490000001,0.66762243
CHESS,LOGREG,5,0.6868,0.676051319,0.0,0.620196239,0.707835821,0.685564657,0.669610838,0.6511371970000001,0.0,0.632505584,0.6816,0.670100427
