DATASET,MODEL,TRIAL,TRAIN_ACC,TRAIN_PREC,TRAIN_REC,TRAIN_SPEC,TRAIN_F1,TRAIN_ROC,TEST_ACC,TEST_PREC,TEST_REC,TEST_SPEC,TEST_F1,TEST_ROC
OLYMPIC,DT,1,0.7008,0.833333333,0.750308261,0.997039668,0.697253851,0.760473952,0.676660975,0.822064057,0.373902867,0.99699447,0.410423029,0.572926979
OLYMPIC,DT,2,0.6854,0.803571429,0.764425937,0.996685749,0.796932515,0.823730082,0.681029348,0.828070175,0.402781051,0.99706499,0.412629549,0.568850624
OLYMPIC,DT,3,0.6916,0.86,0.760843373,0.997904192,0.791757727,0.753825482,0.680393948,0.817869416,0.40449042,0.996821399,0.423415708,0.575965903
OLYMPIC,DT,4,0.7074,0.886792453,0.758660508,0.998164015,0.730676329,0.792714926,0.683253246,0.8125,0.40521636,0.996775349,0.419447325,0.569553143
OLYMPIC,DT,5,0.7246,0.861538462,0.751529988,0.997326203,0.800909386,0.736006657,0.672570589,0.815217391,0.374311497,0.996936569,0.39940015,0.56603932
OLYMPIC,DT,6,0.6804,0.833333333,0.75170068,0.997218789,0.693740458,0.766967912,0.684087209,0.822299652,0.385933595,0.996960305,0.413087935,0.575721003
OLYMPIC,DT,7,0.7002,0.731404959,0.747578692,0.995818399,0.834411384,0.867429075,0.680671935,0.643094842,0.397533764,0.99723989,0.412399773,0.569361492
OLYMPIC,DT,avg,0.698628571,0.829996281,0.755006777,0.997165288,0.763668807,0.785878298,0.679809607,0.794445076,0.392024222,0.996970424,0.412971924,0.571202638
OLYMPIC,LOGREG,1,0.6756,0.507692308,0.075215783,1,0.132392838,0.521548732,0.660656844,0.406408094,0.056524283,1,0.100103627,0.509468282
OLYMPIC,LOGREG,2,0.6638,0.523012552,0.126115407,1,0.201520913,0.530830638,0.662999881,0.412247946,0.124793778,1,0.192790825,0.518039715
OLYMPIC,LOGREG,3,0.668,0.60952381,0.146987952,1,0.228893058,0.535745978,0.662165919,0.587901701,0.119666157,1,0.186686228,0.518540024
OLYMPIC,LOGREG,4,0.6616,0.644927536,0.18591224,1,0.276632302,0.550185719,0.670227553,0.591098748,0.171784232,1,0.252087683,0.537764292
OLYMPIC,LOGREG,5,0.6732,0.628865979,0.088127295,1,0.153273018,0.527058329,0.661133394,0.523255814,0.070901207,1,0.123595506,0.515662241
OLYMPIC,LOGREG,6,0.6472,0.557251908,0.128117914,1,0.208198987,0.536092331,0.666296017,0.406469761,0.105676544,1,0.167326173,0.513411642
OLYMPIC,LOGREG,7,0.6742,0.607476636,0.118644068,1,0.198782961,0.539431586,0.662205631,0.507772021,0.09359953,1,0.156997932,0.521226696
OLYMPIC,LOGREG,avg,0.666228571,0.582678676,0.124160094,1,0.199956297,0.53441333,0.66366932,0.490736298,0.106135105,1,0.168512567,0.519158985
OLYMPIC,PERC,1,0.6756,0.375494071,0.049938348,1,0.088669951,0.5,0.660656844,0.391585761,0.044470451,1,0.079356792,0.5
OLYMPIC,PERC,2,0.5826,0.370967742,0.710886377,0.733654715,0.485772358,0.547519115,0.57352766,0.340817963,0.70598633,0.727163822,0.476838586,0.534005444
